body,title,url
"
	La crisis del coronavirus será larga, dijo la Organización Mundial de la Salud (OMS), advirtiendo de los riesgos de levantar prematuramente el confinamiento para relanzar las economías en crisis, que serán objeto de una cumbre europea hoy.","
          OMS advierte que batalla contra el Covid-19 será larga y UE celebra cumbre sobre recesión        ",https://www.lostiempos.com/actualidad/mundo/20200423/oms-advierte-que-batalla-contra-covid-19-sera-larga-ue-celebra-cumbre
,,https://www.lostiempos.com/organizacion/ministerio-salud
"
	La pandemia nos ha empujado a romper la rutina cotidiana y avizorar la vida bajo una perspectiva nueva. Bien dicen que la necesidad tiene cara de hereje, esta vez parece que la tiene de “revolución tecnológica”. En poco tiempo se ha producido un salto cualitativo impresionante. Sabíamos que se venía, pero a veces nos hace falta una dosis de audacia para enfrentar con coraje las situaciones nuevas, o una oportunidad insoslayable como ahora. Si no hay más remedio, habrá que proceder: esa es la lógica del que decide incursionar en lo nuevo.","
          De la pandemia al aula virtual        ",https://www.lostiempos.com/actualidad/opinion/20200422/columna/pandemia-al-aula-virtual
"
	Este año se celebra un Día del Libro atípico a nivel mundial. Más allá del 23 de abril, los libros se están convirtiendo para muchos en la mejor compañía durante estos días de confinamiento.","
          Escritores bolivianos recomiendan qué leer en el Día Mundial del Libro        ",https://www.lostiempos.com/doble-click/cultura/20200423/escritores-bolivianos-recomiendan-que-leer-dia-mundial-del-libro
"
La Fuerza Especial de Lucha Contra el Crimen (Felcc)  informó que, luego de un patrullaje cibernético, detuvo en Santa Cruz a Mauricio J., un “Guerrero digital”. La Fiscalía lo imputó por delitos de sedición, instigación pública a delinquir y atentado contra la salud pública; y un juez cautelar ordenó su detención en la cárcel de Palmasola.","
          “Guerrero digital” es enviado al Palmasola; está acusado por sedición         ",https://www.lostiempos.com/actualidad/pais/20200422/guerrero-digital-es-enviado-al-palmasola-esta-acusado-sedicion
"
	La Autoridad de Supervisión del Sistema Financiero (ASFI) instruyó la apertura de entidades financieras en el trópico de Cochabamba desde mañana luego de que efectivos policiales retornaran a esta zona a cinco días de haber sido expulsados.","
          ASFI instruye apertura de entidades financieras en el trópico desde mañana        ",https://www.lostiempos.com/actualidad/cochabamba/20200422/asfi-instruye-apertura-entidades-financieras-tropico-manana
,,https://www.lostiempos.com/sites/default/files/portadas-sumplementos/2020/4/blancotapa_0.jpg
"
	La calles de la ciudad permanecen vacías casi la mayor parte del tiempo debido a la cuarentena total que rige en el país y eso ha permitido observar con más detenimiento hermosos murales que a veces pasaban desapercibidos.",,https://www.lostiempos.com/galeria-fotografica/coloridos-murales-cochabamba-cuarentena_494136
"
	La Federación Peruana de Fútbol (FPF) repartirá un millón de dólares entre los clubes de la primera y segunda división afectados por la suspensión de los torneos a causa de la pandemia de la Covid-19.","
          Federación Peruana repartirá $us 1 millón a los clubes de fútbol         ",https://www.lostiempos.com/deportes/futbol-int/20200423/federacion-peruana-repartira-us-1-millon-clubes-futbol
"
	El Comando Departamental de la Policía invita a las familias bolivianas a participar del concurso “Cantando en casa”.","
          La Policía lanza concurso familiar “Cantando en casa”        ",https://www.lostiempos.com/doble-click/cultura/20200423/policia-lanza-concurso-familiar-cantando-casa
